time,SMA
2019-06-05,168.1270
2019-06-04,168.8905
2019-06-03,169.8280
2019-05-31,171.0870
2019-05-30,172.3370
2019-05-29,173.6115
2019-05-28,175.0170
2019-05-24,176.3600
2019-05-23,177.6390
2019-05-22,178.8815
2019-05-21,181.3485
2019-05-20,183.9585
2019-05-17,186.5730
2019-05-16,189.0625
2019-05-15,191.3540
2019-05-14,193.4930
2019-05-13,195.5240
2019-05-10,197.6915
2019-05-09,199.5750
2019-05-08,201.4165
2019-05-07,203.0850
2019-05-06,204.8800
2019-05-03,206.4985
2019-05-02,207.9890
2019-05-01,209.4080
2019-04-30,210.7110
2019-04-29,211.8325
2019-04-26,212.7110
2019-04-25,213.5540
2019-04-24,214.3760
2019-04-23,213.7840
2019-04-22,212.9695
2019-04-18,212.2755
2019-04-17,211.8120
2019-04-16,211.3450
2019-04-15,210.9510
2019-04-12,210.5840
2019-04-11,210.1170
2019-04-10,209.8095
2019-04-09,209.5370
2019-04-08,209.2290
2019-04-05,208.8330
2019-04-04,208.1070
2019-04-03,207.3485
2019-04-02,206.8320
2019-04-01,206.4175
2019-03-29,206.1635
2019-03-28,206.1490
2019-03-27,206.0920
2019-03-26,206.1855
2019-03-25,206.2925
2019-03-22,206.6610
2019-03-21,206.8955
2019-03-20,206.8035
2019-03-19,206.8150
2019-03-18,206.7845
2019-03-15,206.8030
2019-03-14,206.6455
2019-03-13,206.7625
2019-03-12,206.7580
2019-03-11,206.5135
2019-03-08,206.1495
2019-03-07,206.0970
2019-03-06,206.2325
2019-03-05,206.1485
2019-03-04,205.9670
2019-03-01,205.5820
2019-02-28,205.2225
2019-02-27,204.8165
2019-02-26,204.2125
2019-02-25,203.4035
2019-02-22,202.6695
2019-02-21,201.8280
2019-02-20,201.0540
2019-02-19,200.2405
2019-02-15,199.6130
2019-02-14,198.7555
2019-02-13,197.9830
2019-02-12,196.9440
2019-02-11,196.2240
2019-02-08,195.7890
2019-02-07,195.4780
2019-02-06,195.1010
2019-02-05,194.5565
2019-02-04,194.0445
2019-02-01,193.6000
2019-01-31,192.8300
2019-01-30,192.3625
2019-01-29,191.9260
2019-01-28,191.5470
2019-01-25,191.4220
2019-01-24,190.9400
2019-01-23,190.2450
2019-01-22,189.8180
2019-01-18,189.5740
2019-01-17,189.2790
2019-01-16,189.4215
2019-01-15,189.5885
2019-01-14,189.9465
2019-01-11,190.4445
2019-01-10,190.8245
2019-01-09,191.0175
2019-01-08,191.3185
2019-01-07,191.6465
2019-01-04,192.2365
2019-01-03,192.7805
2019-01-02,194.0305
2018-12-31,194.8790
2018-12-28,195.5800
2018-12-27,196.3285
2018-12-26,196.8280
2018-12-24,197.5080
2018-12-21,198.4170
2018-12-20,199.1640
2018-12-19,199.8205
2018-12-18,200.6015
2018-12-17,201.3235
2018-12-14,201.9280
2018-12-13,202.0260
2018-12-12,201.8380
2018-12-11,201.6995
2018-12-10,201.8815
2018-12-07,202.1690
2018-12-06,202.3215
2018-12-04,201.9525
2018-12-03,201.5050
2018-11-30,200.7075
2018-11-29,199.9225
2018-11-28,199.2075
2018-11-27,198.4810
2018-11-26,197.7360
2018-11-23,196.9905
2018-11-21,196.4000
2018-11-20,195.6925
2018-11-19,195.2945
2018-11-16,195.0835
2018-11-15,194.6260
2018-11-14,194.3995
2018-11-13,194.6430
2018-11-12,194.8410
2018-11-09,194.9360
2018-11-08,194.7925
2018-11-07,194.4255
2018-11-06,194.4685
2018-11-05,195.2245
2018-11-02,196.2805
2018-11-01,197.2995
2018-10-31,198.3805
2018-10-30,199.6555
2018-10-29,200.9505
2018-10-26,202.2705
2018-10-25,203.5585
2018-10-24,204.8145
2018-10-23,206.1410
2018-10-22,207.0455
2018-10-19,207.6530
2018-10-18,208.4770
2018-10-17,209.2215
2018-10-16,209.7310
2018-10-15,210.1910
2018-10-12,210.7205
2018-10-11,211.2030
2018-10-10,211.8190
2018-10-09,212.0470
2018-10-08,212.1150
2018-10-05,212.0430
2018-10-04,212.0120
2018-10-03,211.9570
2018-10-02,211.7605
2018-10-01,211.4050
2018-09-28,211.3415
2018-09-27,211.3170
2018-09-26,211.3345
2018-09-25,211.2525
2018-09-24,211.1370
2018-09-21,210.7260
2018-09-20,210.0470
2018-09-19,209.4965
2018-09-18,209.1250
2018-09-17,208.7785
2018-09-14,208.5405
2018-09-13,208.3040
2018-09-12,207.9210
2018-09-11,207.6115
2018-09-10,207.0145
2018-09-07,206.4660
2018-09-06,206.0765
2018-09-05,205.7965
2018-09-04,205.6335
2018-08-31,205.5385
2018-08-30,205.3570
2018-08-29,205.1225
2018-08-28,204.9520
2018-08-27,205.0965
2018-08-24,204.9360
2018-08-23,205.0425
2018-08-22,205.3030
2018-08-21,205.3090
2018-08-20,205.0585
2018-08-17,204.7705
2018-08-16,204.6295
2018-08-15,204.5520
2018-08-14,204.5925
2018-08-13,204.6700
2018-08-10,204.7335
2018-08-09,204.6945
2018-08-08,204.4215
2018-08-07,203.9485
2018-08-06,203.5940
2018-08-03,203.2855
2018-08-02,202.7940
2018-08-01,202.3845
2018-07-31,201.8235
2018-07-30,200.9835
2018-07-27,200.5635
2018-07-26,199.9910
2018-07-25,199.3390
2018-07-24,198.9490
2018-07-23,198.7050
2018-07-20,198.5880
2018-07-19,198.2665
2018-07-18,198.0905
2018-07-17,197.9500
2018-07-16,198.0550
2018-07-13,198.2480
2018-07-12,198.3705
2018-07-11,198.6490
