time,SMA
2019-06-05,136.5235
2019-06-04,136.8030
2019-06-03,137.2210
2019-05-31,137.7495
2019-05-30,138.2560
2019-05-29,138.7480
2019-05-28,139.2415
2019-05-24,139.3800
2019-05-23,139.4570
2019-05-22,139.4500
2019-05-21,139.4720
2019-05-20,139.5610
2019-05-17,139.5315
2019-05-16,139.4770
2019-05-15,139.4925
2019-05-14,139.5480
2019-05-13,139.5330
2019-05-10,139.4720
2019-05-09,139.2800
2019-05-08,139.1225
2019-05-07,138.9115
2019-05-06,138.7200
2019-05-03,138.4245
2019-05-02,138.1025
2019-05-01,137.8970
2019-04-30,137.6850
2019-04-29,137.5740
2019-04-26,137.5715
2019-04-25,137.4960
2019-04-24,137.4485
2019-04-23,137.4170
2019-04-22,137.2525
2019-04-18,137.2065
2019-04-17,137.2355
2019-04-16,137.1740
2019-04-15,137.1950
2019-04-12,137.2275
2019-04-11,137.3085
2019-04-10,137.4490
2019-04-09,137.6405
2019-04-08,137.8210
2019-04-05,137.9420
2019-04-04,138.0360
2019-04-03,138.1695
2019-04-02,138.2655
2019-04-01,138.3185
2019-03-29,138.2935
2019-03-28,138.2215
2019-03-27,138.1095
2019-03-26,137.9680
2019-03-25,137.8450
2019-03-22,137.8245
2019-03-21,137.8090
2019-03-20,137.6750
2019-03-19,137.6280
2019-03-18,137.4905
2019-03-15,137.4510
2019-03-14,137.2865
2019-03-13,137.1080
2019-03-12,136.8455
2019-03-11,136.4865
2019-03-08,136.1785
2019-03-07,135.8780
2019-03-06,135.6160
2019-03-05,135.3055
2019-03-04,135.0110
2019-03-01,134.7970
2019-02-28,134.5335
2019-02-27,134.2835
2019-02-26,134.0065
2019-02-25,133.6505
2019-02-22,133.2520
2019-02-21,132.7735
2019-02-20,132.4425
2019-02-19,132.0650
2019-02-15,131.8150
2019-02-14,131.4505
2019-02-13,131.1370
2019-02-12,130.8825
2019-02-11,130.5885
2019-02-08,130.4760
2019-02-07,130.3415
2019-02-06,130.1855
2019-02-05,130.0335
2019-02-04,129.7400
2019-02-01,129.4875
2019-01-31,129.0635
2019-01-30,128.7970
2019-01-29,128.6675
2019-01-28,128.5145
2019-01-25,128.4355
2019-01-24,128.3595
2019-01-23,128.1500
2019-01-22,128.1145
2019-01-18,128.0880
2019-01-17,127.9340
2019-01-16,128.0005
2019-01-15,128.0555
2019-01-14,128.2375
2019-01-11,129.2155
2019-01-10,130.0830
2019-01-09,130.9225
2019-01-08,131.7390
2019-01-07,132.5125
2019-01-04,133.4575
2019-01-03,134.3675
2019-01-02,135.3920
2018-12-31,136.3495
2018-12-28,137.1895
2018-12-27,138.1480
2018-12-26,138.9385
2018-12-24,139.6715
2018-12-21,140.6410
2018-12-20,141.3360
2018-12-19,142.2450
2018-12-18,143.2510
2018-12-17,144.0295
2018-12-14,144.7975
2018-12-13,145.3600
2018-12-12,145.2020
2018-12-11,145.1280
2018-12-10,145.0700
2018-12-07,145.0720
2018-12-06,145.0380
2018-12-04,144.8710
2018-12-03,144.6795
2018-11-30,144.4030
2018-11-29,144.0990
2018-11-28,143.8060
