time,SMA
2019-07-01,1084.2085
2019-06-28,1081.1225
2019-06-27,1082.2585
2019-06-26,1084.3555
2019-06-25,1086.1885
2019-06-24,1088.5785
2019-06-21,1089.4760
2019-06-20,1090.4205
2019-06-19,1092.4205
2019-06-18,1094.7855
2019-06-17,1096.5480
2019-06-14,1100.0380
2019-06-13,1104.7195
2019-06-12,1108.4915
2019-06-11,1110.6620
2019-06-10,1113.3275
2019-06-07,1117.5220
2019-06-06,1122.3390
2019-06-05,1128.4355
2019-06-04,1135.0295
2019-06-03,1141.8465
2019-05-31,1149.3050
2019-05-30,1152.2540
2019-05-29,1154.7605
2019-05-28,1158.3615
2019-05-24,1166.0330
2019-05-23,1172.9685
2019-05-22,1179.1025
2019-05-21,1184.3315
2019-05-20,1190.0775
2019-05-17,1195.5770
2019-05-16,1199.2805
2019-05-15,1202.1485
2019-05-14,1205.2945
2019-05-13,1210.3275
2019-05-10,1214.6195
2019-05-09,1216.6370
2019-05-08,1218.6260
2019-05-07,1220.1750
2019-05-06,1221.6620
2019-05-03,1222.5500
2019-05-02,1224.0300
2019-05-01,1226.1955
2019-04-30,1227.8160
2019-04-29,1228.1135
2019-04-26,1222.4000
2019-04-25,1217.2155
2019-04-24,1212.6940
2019-04-23,1209.1250
2019-04-22,1205.5475
2019-04-18,1203.3805
2019-04-17,1203.1390
2019-04-16,1202.5205
2019-04-15,1201.1065
2019-04-12,1199.2645
2019-04-11,1197.5940
2019-04-10,1196.6405
2019-04-09,1196.1985
2019-04-08,1195.9960
2019-04-05,1194.5920
2019-04-04,1191.3505
2019-04-03,1187.7655
2019-04-02,1185.3625
2019-04-01,1183.4395
2019-03-29,1181.1080
2019-03-28,1179.4920
2019-03-27,1177.0635
2019-03-26,1174.2150
2019-03-25,1170.7405
2019-03-22,1166.5605
2019-03-21,1161.8040
2019-03-20,1155.0755
2019-03-19,1149.5670
2019-03-18,1145.5525
2019-03-15,1142.0220
2019-03-14,1138.8825
2019-03-13,1135.6130
2019-03-12,1132.0155
2019-03-11,1127.1060
2019-03-08,1123.0710
2019-03-07,1120.8905
2019-03-06,1119.4870
2019-03-05,1118.8935
2019-03-04,1117.4320
2019-03-01,1115.5795
2019-02-28,1114.3485
2019-02-27,1112.8055
2019-02-26,1110.0340
2019-02-25,1107.7815
2019-02-22,1106.8610
2019-02-21,1105.0375
2019-02-20,1103.9675
2019-02-19,1101.8035
2019-02-15,1100.7885
2019-02-14,1099.6010
2019-02-13,1097.5660
2019-02-12,1095.4155
2019-02-11,1091.5815
2019-02-08,1089.6905
2019-02-07,1088.4540
